borrower_id,month,type,income,expenses,repayment,payment_delay_days,missed_payment,currency,cash_flow,repayment_burden
B001,1,stable,25745,14862,5000,0,0,INR,5883,0.19421246844047388
B001,2,stable,25972,16523,5000,0,0,INR,4449,0.19251501617126135
B001,3,stable,24649,14766,5000,0,0,INR,4883,0.2028479857195018
B001,4,stable,27369,15767,5000,0,0,INR,6602,0.18268844312908766
B001,5,stable,24296,15543,5000,0,0,INR,3753,0.2057951926243003
B001,6,stable,24305,14534,5000,0,0,INR,4771,0.20571898786257972
B001,7,stable,25363,13087,5000,0,0,INR,7276,0.19713756259117612
B001,8,stable,22413,14438,5000,0,0,INR,2975,0.22308481684736536
B001,9,stable,23481,15314,5000,0,0,INR,3167,0.21293812018227504
B001,10,stable,23638,13588,5000,0,0,INR,5050,0.21152381758185973
B001,11,stable,27198,14774,5000,0,0,INR,7424,0.18383704684167954
B001,12,stable,25101,13575,5000,0,0,INR,6526,0.19919525118521175
B001,13,stable,24183,15111,5000,0,0,INR,4072,0.2067568126369764
B001,14,stable,23274,15376,5000,0,0,INR,2898,0.2148320013749248
B001,15,stable,24099,14708,5000,0,0,INR,4391,0.20747748869247687
B001,16,stable,24097,16852,5000,0,0,INR,2245,0.20749470888492344
B001,17,stable,24980,13942,5000,0,0,INR,6038,0.200160128102482
B001,18,stable,26234,13779,5000,0,0,INR,7455,0.1905923610581688
B002,1,seasonal,27767,12128,4500,0,0,INR,11139,0.16206288039759426
B002,2,seasonal,29173,13638,4500,0,0,INR,11035,0.15425221951804752
B002,3,seasonal,31791,13620,4500,0,0,INR,13671,0.141549495140134
B002,4,seasonal,30143,13289,4500,0,0,INR,12354,0.1492883919981422
B002,5,seasonal,26417,12996,4500,0,0,INR,8921,0.1703448536926979
B002,6,seasonal,23631,14240,4500,0,0,INR,4891,0.1904278278532436
B002,7,seasonal,20675,12266,4500,0,0,INR,3909,0.21765417170495768
B002,8,seasonal,17090,13141,4500,0,0,INR,-551,0.26331187829139846
B002,9,seasonal,17266,14121,4500,5,0,INR,-1355,0.26062782346808755
B002,10,seasonal,18145,14413,4500,3,0,INR,-768,0.24800220446403967
B002,11,seasonal,19729,13284,4500,5,0,INR,1945,0.22809062800952912
B002,12,seasonal,23865,14315,4500,0,0,INR,5050,0.18856065367693275
B002,13,seasonal,27403,12961,4500,0,0,INR,9942,0.1642155968324636
B002,14,seasonal,31205,14363,4500,0,0,INR,12342,0.14420765902900176
B002,15,seasonal,29941,13947,4500,0,0,INR,11494,0.1502955813099095
B002,16,seasonal,28600,14249,4500,0,0,INR,9851,0.15734265734265734
B002,17,seasonal,26853,14049,4500,0,0,INR,8304,0.1675790414478829
B002,18,seasonal,23508,13733,4500,0,0,INR,5275,0.19142419601837674
B003,1,deteriorating,25919,14275,6000,2,0,INR,5644,0.23149041243875149
B003,2,deteriorating,29234,14180,6000,0,0,INR,9054,0.2052404734213587
B003,3,deteriorating,26198,14678,6000,2,0,INR,5520,0.22902511642110085
B003,4,deteriorating,24411,16595,6000,2,0,INR,1816,0.24579083200196633
B003,5,deteriorating,23692,16099,6000,0,0,INR,1593,0.25325004220834035
B003,6,deteriorating,22333,17714,6000,0,0,INR,-1381,0.2686607262794967
B003,7,deteriorating,23357,17752,6000,5,0,INR,-395,0.256882305090551
B003,8,deteriorating,22056,18601,6000,10,1,INR,-2545,0.2720348204570185
B003,9,deteriorating,21391,19039,6000,2,0,INR,-3648,0.2804917956149783
B003,10,deteriorating,21850,17951,6000,2,0,INR,-2101,0.2745995423340961
B003,11,deteriorating,20596,19709,6000,10,1,INR,-5113,0.2913187026607108
B003,12,deteriorating,19727,19000,6000,5,0,INR,-5273,0.3041516702995894
B003,13,deteriorating,18504,20269,6000,20,1,INR,-7765,0.324254215304799
B003,14,deteriorating,17534,20589,6000,20,1,INR,-9055,0.3421923120793886
B003,15,deteriorating,19386,21640,6000,5,0,INR,-8254,0.3095017022593624
